Index,Variant,Region,Notes,Country code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
13,Medium variant,AFRICA,,903,1186178,1216130,1246505,1277292,1308492,1340103,1372113,1404512,1437315,1470542,1504213,1538328,1572883,1607889,1643359,1679301,1715713,1752587,1789919,1827701,1865922,1904572,1943637,1983089,2022896,2063030,2103470,2144198,2185190,2226417,2267856,2309484,2351284,2393237,2435326,2477536,2519848,2562245,2604708,2647223,2689773,2732342,2774913,2817473,2860007,2902500,2944937,2987302,3029583,3071767,3113841,3155790,3197597,3239243,3280706,3321968,3363012,3403820,3444372,3484648,3524628,3564294,3603632,3642623,3681249,3719492,3757336,3794768,3831781,3868370,3904528,3940245,3975507,4010296,4044591,4078374,4111635,4144365,4176561,4208220,4239338,4269910,4299931,4329391,4358282,4386591
77,Medium variant,ASIA,,935,4393296,4436224,4478315,4519452,4559518,4598426,4636105,4672534,4707739,4741781,4774708,4806518,4837199,4866784,4895316,4922830,4949340,4974853,4999378,5022921,5045488,5067085,5087717,5107387,5126098,5143850,5160648,5176486,5191345,5205201,5218033,5229837,5240617,5250375,5259117,5266848,5273583,5279326,5284069,5287799,5290517,5292235,5292989,5292830,5291824,5290030,5287477,5284197,5280251,5275709,5270626,5265044,5258982,5252447,5245437,5237953,5230016,5221650,5212866,5203675,5194087,5184122,5173802,5163138,5152143,5140834,5129225,5117346,5105244,5092972,5080577,5068080,5055495,5042851,5030175,5017487,5004798,4992105,4979400,4966668,4953893,4941056,4928135,4915111,4901958,4888653
135,Medium variant,EUROPE,,908,738442,738849,739208,739495,739676,739725,739638,739424,739088,738640,738090,737439,736691,735851,734928,733929,732860,731725,730536,729304,728037,726741,725420,724079,722723,721355,719980,718596,717201,715789,714355,712899,711421,709915,708374,706793,705171,703509,701809,700070,698296,696489,694653,692792,690915,689029,687137,685247,683369,681517,679703,677932,676209,674538,672925,671372,669884,668462,667106,665816,664591,663431,662334,661298,660321,659399,658530,657710,656932,656190,655475,654785,654115,653461,652815,652175,651535,650894,650250,649602,648950,648291,647625,646952,646270,645577
188,Medium variant,LATIN AMERICA AND THE CARIBBEAN,,904,634387,641029,647565,653991,660304,666502,672581,678534,684357,690042,695584,700980,706226,711323,716269,721067,725712,730205,734543,738724,742747,746611,750316,753862,757251,760484,763561,766481,769246,771854,774305,776600,778740,780727,782562,784247,785785,787174,788415,789507,790450,791244,791892,792393,792748,792959,793028,792955,792744,792397,791917,791307,790570,789709,788728,787631,786422,785104,783681,782161,780546,778842,777052,775179,773228,771201,769102,766936,764708,762424,760090,757709,755286,752822,750320,747781,745210,742611,739986,737341,734679,732003,729318,726625,723926,721224
240,Medium variant,NORTHERN AMERICA,,905,357838,360529,363224,365918,368602,371269,373918,376550,379159,381736,384274,386771,389224,391630,393983,396278,398514,400691,402812,404882,406905,408883,410817,412707,414556,416364,418135,419870,421576,423261,424930,426589,428236,429874,431500,433114,434716,436311,437901,439493,441089,442692,444300,445913,447529,449146,450764,452381,453996,455603,457200,458784,460355,461909,463444,464959,466450,467918,469361,470777,472164,473523,474853,476155,477430,478681,479908,481111,482293,483455,484602,485732,486848,487950,489038,490113,491175,492225,493263,494288,495300,496298,497283,498252,499206,500143
246,Medium variant,OCEANIA,,909,39331,39901,40467,41028,41583,42131,42673,43210,43740,44267,44791,45313,45831,46346,46856,47361,47861,48355,48844,49329,49809,50285,50757,51224,51689,52150,52608,53063,53515,53965,54413,54858,55302,55742,56178,56609,57035,57455,57870,58279,58684,59083,59477,59865,60248,60626,60998,61364,61726,62082,62432,62778,63118,63453,63782,64106,64423,64735,65041,65342,65637,65927,66212,66491,66763,67028,67286,67537,67781,68020,68253,68481,68703,68920,69132,69340,69542,69739,69932,70119,70302,70479,70650,70816,70975,71129
